journal	year	authors	title	language	wordcount	doctype	doi	citation_counts	S2titles	S2years	condition	matchstrength	S2journal	S2authors	new_cite_count
The Modern Language Review	1978	['A. D. Nuttall']	Review Article	['eng']	1916	article | book-review	10.2307/3727301	0	Milton Studies VIII	1978-07-01	not citable	0.0	NA	NA	0
PMLA	1945	['Alice R. Bensen']	Problems of Poetic Diction in Twentieth-Century Criticism	['eng']	7599	article | research-article	10.2307/459134	1	Problems of Poetic Diction in Twentieth-Century Criticism	1945-03-01	already found	0.0	NA	NA	1
Modern Philology	1993	['Diane McColley']	Review Article	['eng']	3124	article | book-review	10.2307/438657	0		no date	not citable	0.0	NA	NA	0
PMLA	2016	['NAIR MARÍA ANAYA-FERREIRA']	Teaching Literature under the Volcano	['eng']	2454	article | research-article	10.2307/26158948	0	Teaching Literature under the Volcano	2016	found	1.12	Pmla-publications of The Modern Language Association of America	Nair María Anaya-Ferreira	0
The Review of English Studies	1964	['John Buxton']	Review Article	['eng']	1576	article | book-review	10.2307/512526	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	2004	['Ad Putter']	Review Article	['eng']	996	article | book-review	10.2307/3738760	6	'I Have a yong suster': Popular Song and the Middle English Lyric by Karin Boklund-Lagopolou (review)	2004-04-01	not citable	0.0	NA	NA	6
PMLA	1900	['Edward Kirby Putnam']	The Lambeth Version of Havelok	['eng']	5798	article | research-article	10.2307/456492	0	The Lambeth Version of Havelok	2010	found	1.0	PMLA/Publications of the Modern Language Association of America	E. K. Putnam	2
The Modern Language Review	1996	['Mark Balfour']	Review Article	['eng']	1205	article | book-review	10.2307/3734062	11	Twice-Told Tales: Brunetto Latino and Dante Alighieri		not citable	0.0	NA	NA	11
PMLA	1944	['anonymous']	Volume Information	['eng']	1194	article | misc	10.2307/458838	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1987	['Everett Zimmerman']	Review Article	['eng']	1257	article | book-review	10.2307/3728456	0	The reluctant naturalism of Amelia : an essay on the modern reading of Fielding	1987-04-01	not citable	0.0	NA	NA	0
The Review of English Studies	1990	['A. V. C. Schmidt']	Review Article	['eng']	2059	article | book-review	10.2307/515744	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1927	['W. L. Renwick']	Review Article	['eng']	1005	article | book-review	10.2307/3714500	0	Venus and Anchises and Other Poems by Phineas Fletcher	1927-04-01	not citable	0.0	NA	NA	0
The Review of English Studies	1927	['R. E. Brettle']	Samuel Daniel and the Children of the Queen's Revels, 1604-5	['eng']	3211	article | research-article	10.2307/508278	0	SAMUEL DANIEL AND THE CHILDREN OF THE QUEEN'S REVELS, 1604–5	1927	found	1.12	The Review of English Studies	R. E. Brettle	13
The Modern Language Review	1988	['Jocelyn Harris']	Review Article	['eng']	1879	article | book-review	10.2307/3730926	0	Samuel Richardson: Passion and Prudence@@@Violation and Repair in the English Novel: The Paradigm of Experience from Richardson to Woolf@@@Heroic Commitment in Richardson, Eliot and James	1988-10-01	not citable	0.0	NA	NA	0
The Modern Language Review	2010	['Thomas Wynn']	Review Article	['eng']	589	article | book-review	10.2307/25655179	0		no date	not citable	0.0	NA	NA	0
PMLA	2005	['anonymous']	The One Hundred Fifteen Presidents	['eng']	458	article | misc	10.2307/25486242	0	The One Hundred Fifteen Presidents	2005	found	1.02	PMLA/Publications of the Modern Language Association of America		0
The Review of English Studies	1976	['Cicely Havely']	Review Article	['eng']	1705	article | book-review	10.2307/513826	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1969	['John Osborne']	Review Article	['eng']	1159	article | book-review	10.2307/3723515	1	Die Dichtung im Leben und Werk Jacob Burckhardts	1969-04-01	not citable	0.0	NA	NA	1
Critical Inquiry	1992	['Sara Suleri']	Woman Skin Deep: Feminism and the Postcolonial Condition	['eng']	6091	article | research-article	10.2307/1343829	0	Woman Skin Deep: Feminism and the Postcolonial Condition	1992	found	1.12	Critical Inquiry	Sarah Suleri	284
The Modern Language Review	1957	['Henry Hatfield']	Review Article	['eng']	1270	article | book-review	10.2307/3719530	0		no date	not citable	0.0	NA	NA	0
Modern Philology	1906	['Joseph Beifus']	Some Hans Sachs Discoveries	['eng']	2720	article | research-article	10.2307/432392	0	Some Hans Sachs Discoveries	1906	found	1.12	Modern Philology	Joseph Beifus	0
The Modern Language Review	1972	['Jonathan Culler']	Review Article	['eng']	1163	article | book-review	10.2307/3722342	18	Balzac to Beckett: Center and Circumference in French Fiction.		not citable	0.0	NA	NA	18
The Modern Language Review	1960	['Philip Thody']	Review Article	['eng']	1260	article | book-review	10.2307/3720364	0	William Faulkner en France (1931-1952)@@@Configuration Critique de William Faulkner, II		not citable	0.0	NA	NA	0
Modern Philology	1964	['Robert Y. Turner']	Shakespeare and the Public Confrontation Scene in Early History Plays	['eng']	7666	article | research-article	10.2307/435753	0	Shakespeare and the Public Confrontation Scene in Early History Plays	1964	found	1.12	Modern Philology	R. Y. Turner	1
The Modern Language Review	1953	['H. C. Ault']	"""Charles IX, ou l'École des Rois"": Tragédie Nationale"	['eng']	4931	article | research-article	10.2307/3718653	3	"""Charles IX, ou l'Ecole des Rois"": Tragedie Nationale"	1953-10-01	already found	0.0	NA	NA	3
Modern Philology	1989	['Alan Golding']	Institutionalizing Literature	['eng']	3014	article | book-review	10.2307/437986	0	Institutionalizing Literature	1989	found	1.12	Modern Philology	Alan Golding	0
The Review of English Studies	2013	['JULIAN FERRARO']	Review Article	['eng']	989	article | book-review	10.2307/42003695	0		no date	not citable	0.0	NA	NA	0
PMLA	1936	['Ralph M. Wardle']	Thomas Vaughan's Influence upon the Poetry of Henry Vaughan	['eng']	8046	article | research-article	10.2307/458076	3	Thomas Vaughan's Influence Upon the Poetry of Henry Vaughan	1936-12-01	already found	0.0	NA	NA	3
The Modern Language Review	1995	['Gerald Opie']	Review Article	['eng']	1259	article | book-review	10.2307/3733362	0		no date	not citable	0.0	NA	NA	0
Modern Philology	1979	['anonymous']	Back Matter	['eng']	1812	article | misc	10.2307/437951	0		no date	not citable	0.0	NA	NA	0
Critical Inquiry	2011	['William\xa0E. Connolly']	I<br/>The Complexity of Intention	['eng']	3029	article | research-article	10.1086/660993	48	IThe Complexity of Intention	2011-06-01	already found	0.0	NA	NA	48
PMLA	1958	['David Hayman']	From Finnegans Wake: A Sentence in Progress	['eng']	17178	article | research-article	10.2307/460284	7	From Finnegans Wake: A Sentence in Progress	1958-03-01	already found	0.0	NA	NA	7
ELH	1939	['Alice Dulany Ball']	An Emendation of Dryden's Conquest of Granada, Part one	['eng']	662	article | research-article	10.2307/2871555	1	An Emendation of Dryden's Conquest of Granada, Part one	1939-09-01	already found	0.0	NA	NA	1
Modern Philology	1975	['Thomas Andrew Reisner']	"The ""Cortaysye"" Sequence in ""Pearl:"" A Legal Interpretation"	['eng']	1798	article | research-article	10.2307/436871	0	"The ""Cortaysye"" Sequence in ""Pearl:"" A Legal Interpretation"	1975	found	1.12	Modern Philology	T. Reisner	0
The Modern Language Review	1918	['F. P. Wilson']	"""A Wonderfull Prognostication"" (1591)"	['eng']	850	article | research-article	10.2307/3714306	0	"""A Wonderfull Prognostication"" (1591)"	no date	found	0.91	Modern Language Review	F. P. Wilson	0
PMLA	1953	['Albert H. Marckwardt']	Obligation and Opportunity	['eng']	1895	article | research-article	10.2307/459901	0	Obligation and Opportunity	1953-03-01	no strong match	0.7611320754716981	NA	NA	0
The Modern Language Review	1942	['K.-W. Maurer']	Review Article	['eng']	1034	article | book-review	10.2307/3716521	3	Der Goldene Topf: Ein Marchen aus der Neuen Zeit	1942-10-01	not citable	0.0	NA	NA	3
The Review of English Studies	1958	['H. M. Margoliouth']	Review Article	['eng']	122	article | book-review	10.2307/511296	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1980	['Mahmoud Manzalaoui']	Review Article	['eng']	2593	article | book-review	10.2307/3727696	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1991	['John T. Gage']	Review Article	['eng']	1995	article | book-review	10.2307/3730570	5	Into My Own: The English Years of Robert Frost, 1912-1915	1988-11-01	not citable	0.0	NA	NA	5
The Review of English Studies	1993	['Alan J. Fletcher']	The Social Trinity of Piers Plowman	['eng']	9801	article | research-article	10.2307/517279	0	THE SOCIAL TRINITY OF PIERS PLOWMAN	1993	found	1.12	The Review of English Studies	A. Fletcher	6
Modern Philology	1979	['Vivian Mercier']	Joyce: Before, During, After	['eng']	4036	article | book-review	10.2307/437933	0		no date	no strong match	0.0	NA	NA	0
The Modern Language Review	1979	['Charles V. J. Russ']	Review Article	['eng']	1191	article | book-review	10.2307/3726910	1	Grundzüge der Sprachtypologie : Methodik, Empirie und Systematik derSprachen Europas		not citable	0.0	NA	NA	1
The Modern Language Review	2005	['Helen Wheatley']	Review Article	['eng']	698	article | book-review	10.2307/3739171	0		no date	not citable	0.0	NA	NA	0
The Review of English Studies	1943	['Ruth Wallerstein']	Dryden and the Analysis of Shakespeare's Techniques	['eng']	9687	article | research-article	10.2307/509024	0	DRYDEN AND THE ANALYSIS OF SHAKESPEARE'S TECHNIQUES	1943	found	1.12	The Review of English Studies	Ruth C. Wallerstein	3
The Modern Language Review	2003	['Anthony Grenville']	Review Article	['eng']	712	article | book-review	10.2307/3737900	2	Journey of No Return: Five German-Speaking Literary Exiles in Britain, 1933-1945@@@Die Reise nach Deutschland	2003-04-01	not citable	0.0	NA	NA	2
The Review of English Studies	1933	['G. B. Harrison']	Review Article	['eng']	818	article | book-review	10.2307/508816	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1997	['D. H. Green']	From Germania to Europe: The Evidence of Language and History	['eng']	5692	article | research-article	10.2307/3734311	1	From Germania to Europe: The Evidence of Language and History	1997-10-01	already found	0.0	NA	NA	1
The Review of English Studies	1931	['A. C. Healing']	Review Article	['eng']	1189	article | book-review	10.2307/508397	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1944	['E. L. Marilla']	Henry and Thomas Vaughan	['eng']	2650	article | research-article	10.2307/3716905	0	Henry and Thomas Vaughan	1944	found	1.0	no journal listed	E. L. Marilla	0
The Modern Language Review	1958	['Th. Weevers']	Review Article	['eng']	1943	article | book-review	10.2307/3719095	0		no date	not citable	0.0	NA	NA	0
The Review of English Studies	1986	['Rachel Bennett']	Review Article	['eng']	559	article | book-review	10.2307/516134	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1956	['R. M. Wilson']	Review Article	['eng']	1277	article | book-review	10.2307/3719236	0	The Proverbs of Alfred. II	1956-10-01	not citable	0.0	NA	NA	0
The Review of English Studies	1988	['anonymous']	Summary of Periodical Literature	['eng']	5518	article | misc	10.2307/516702	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1986	['Mary Ann Caws']	Review Article	['eng']	1192	article | book-review	10.2307/3729652	0		no date	not citable	0.0	NA	NA	0
The Review of English Studies	1925	['R. W. C.']	Brooke's Gustavus Vasa	['eng']	717	article | research-article	10.2307/508713	0		no date	no strong match	0.0	NA	NA	0
The Modern Language Review	1969	['Arthur Colby Sprague']	Review Article	['eng']	1249	article | book-review	10.2307/3723672	19	The Eminent Tragedian: William Charles Macready		not citable	0.0	NA	NA	19
PMLA	2009	['anonymous']	Abstracts	['eng']	888	article | misc	10.2307/25614313	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1994	['Martin Sorrell']	Review Article	['eng']	1210	article | book-review	10.2307/3733958	1	On the Motion and Immobility of Douve@@@The Dawn Breakers@@@Space, Displaced	1994-10-01	not citable	0.0	NA	NA	1
ELH	2003	['anonymous']	Back Matter	['eng']	821	article | misc	10.2307/30029917	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1994	"[""Terence O'Reilly""]"	Review Article	['eng']	1281	article | book-review	10.2307/3733968	0	Poetry and Truth in the Spanish Works of Fray Luis de Leon	1994-10-01	not citable	0.0	NA	NA	0
The Modern Language Review	1982	['B. W. Ife']	Review Article	['eng']	602	article | book-review	10.2307/3727557	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1994	['John P. Wieczorek']	New Writing on Johannes Bobrowski (1917-1965): A Review Article	['eng']	6240	article | book-review	10.2307/3735242	0		no date	no strong match	0.0	NA	NA	0
The Modern Language Review	1965	['Anne Davenport']	Review Article	['eng']	1056	article | book-review	10.2307/3720721	0	Deutsche Sprachlehre fur Auslander. Grundstufe, I. Teil. Lehrerhandbuch. Eine Gemeinschaftsarbeit der Goethe-Institute im Inland	1965-07-01	not citable	0.0	NA	NA	0
The Modern Language Review	1963	['A. J. Smith']	For the Death of Cecchino Bracci	['eng']	5299	article | research-article	10.2307/3721427	0	For the Death of Cecchino Bracci	1963	found	1.0	Modern Language Review	A. Smith	0
The Review of English Studies	2001	['Brian Young']	Review Article	['eng']	1931	article | book-review	10.2307/3070474	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1956	['L. H. C. Thomas']	Review Article	['eng']	1244	article | book-review	10.2307/3718496	3	"Die lyrischen Vorstufen des ""Grünen Heinrich"""	1956-04-01	not citable	0.0	NA	NA	3
The Review of English Studies	2011	['HESTER LEES-JEFFRIES']	NO COUNTRY FOR OLD MEN? CICERONIAN FRIENDSHIP AND OLD AGE IN SHAKESPEARE'S SECOND TETRALOGY AND BEYOND	['eng']	11909	article | research-article	10.2307/41410062	0	No Country for Old Men? Ciceronian Friendship and Old Age in Shakespeare’s Second Tetralogy and Beyond	2011	found	1.12	The Review of English Studies	Hester Lees-Jeffries	3
Critical Inquiry	1991	['anonymous']	Books of Critical Interest	['eng']	3775	article | misc	10.2307/1343808	0		no date	not citable	0.0	NA	NA	0
New Literary History	2010	['Nergis Ertürk']	"Those Outside the Scene: ""Snow"" in the World Republic of Letters"	['eng']	9596	article | research-article	10.2307/40983888	0	Those Outside the Scene: Snow in the World Republic of Letters	2010	found	1.08	New Literary History	Nergis Ertürk	6
New Literary History	1982	['Marjorie Perloff']	Pound/Stevens: Whose Era?	['eng']	13415	article | research-article	10.2307/468795	26	Pound/Stevens: Whose Era?	1982-01-21	already found	0.0	NA	NA	26
The Modern Language Review	2016	['Marco Tamburelli']	Review Article	['eng']	1494	article | book-review	10.5699/modelangrevi.111.4.1119	0	"Review of Marcyliena H. Morgan, ""Speech Communities"""	2016-10-01	not citable	0.0	NA	NA	0
New Literary History	2014	['Georgia Warnke']	Hermeneutics and Social Identity	['eng']	9245	article | research-article	10.2307/24542718	0	Hermeneutics and Social Identity	2015	found	1.1	New Literary History	G. Warnke	2
The Modern Language Review	2003	['Warren Chernaik']	Review Article	['eng']	687	article | book-review	10.2307/3738295	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1983	['Christina Howells']	Review Article	['eng']	1911	article | book-review	10.2307/3729868	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1937	['Bruce Pattison']	Review Article	['eng']	1592	article | book-review	10.2307/3715929	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1928	['anonymous']	Back Matter	['eng']	25	article | misc	10.2307/3714002	0		no date	not citable	0.0	NA	NA	0
Modern Philology	1988	['Janel Mueller', 'Bruce Redford']	Preface	['eng']	372	article | misc	10.2307/438344	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	2007	['Kathryn Banks']	Review Article	['eng']	599	article | book-review	10.2307/20467329	0		no date	not citable	0.0	NA	NA	0
Critical Inquiry	2002	['Jacques Derrida', 'David Wills']	The Animal That Therefore I Am (More to Follow)	['eng']	27545	article | research-article	10.2307/1344276	0	The Animal That Therefore I Am (More to Follow)	2002	found	1.12	Critical Inquiry	J. Derrida : David Wills	874
PMLA	1972	['Elisabeth Schneider']	Prufrock and After: The Theme of Change	['eng']	13718	article | research-article	10.2307/461187	14	Prufrock and After: The Theme of Change	1972-10-01	already found	0.0	NA	NA	14
PMLA	1971	['anonymous']	Back Matter	['eng']	50738	article | misc	10.2307/461018	0		no date	not citable	0.0	NA	NA	0
PMLA	1930	['James L. Barker']	Rate, Direction, and Continuity of Movement in French and English Speech	['eng']	2376	article | research-article	10.2307/457839	0	Rate, Direction, and Continuity of Movement in French and English Speech	1930	found	1.12	PMLA/Publications of the Modern Language Association of America	J. L. Barker	0
New Literary History	1988	['John M. Ellis']	Playing Games with Wittgenstein	['eng']	3741	article | research-article	10.2307/469338	0	Playing Games with Wittgenstein	1988	found	1.12	New Literary History	J. M. Ellis	0
The Review of English Studies	1966	['David F. C. Coldwell']	Review Article	['eng']	843	article | book-review	10.2307/511997	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1919	['B. Farrington']	The Text of Shelley's Translation of the 'Symposium' of Plato	['eng']	512	article | research-article	10.2307/4623487	0		no date	no strong match	0.0	NA	NA	0
The Modern Language Review	2016	['Fiona Barclay']	Review Article	['eng']	1022	article | book-review	10.5699/modelangrevi.111.1.0262	0		no date	not citable	0.0	NA	NA	0
PMLA	2015	['anonymous']	Index of Advertisers	['eng']	168	article | misc	10.2307/44015777	0		no date	not citable	0.0	NA	NA	0
The Review of English Studies	1969	['M. W. Lloyd']	Review Article	['eng']	1155	article | book-review	10.2307/513190	0		no date	not citable	0.0	NA	NA	0
New Literary History	1992	['Charles Eric Reeves']	Vice Versa: Rhetorical Reflections in an Ideological Mirror	['eng']	5560	article | research-article	10.2307/469163	1	Vice Versa: Rhetorical Reflections in an Ideological Mirror	1992-01-24	already found	0.0	NA	NA	1
The Modern Language Review	2005	['Elizabeth Loentz']	Review Article	['eng']	953	article | book-review	10.2307/3737799	0		no date	not citable	0.0	NA	NA	0
The Review of English Studies	1992	['Brian Gibbons']	Review Article	['eng']	818	article | book-review	10.2307/517715	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	2002	['Alan Munton']	Review Article	['eng']	1226	article | book-review	10.2307/3737517	97	Untwisting the Serpent: Modernism in Music, Literature, and Other Arts	1999-05-01	not citable	0.0	NA	NA	97
The Modern Language Review	1931	['W. E. Collinson']	Review Article	['eng']	2039	article | book-review	10.2307/3715364	5	Zum Weltsprachenproblem in England im 17. Jahrhundert. G. Dalgarno's 'Ars Signorum' (1661) und J. Wilkins' 'Essay Towards a Real Character and a Philosophical Language' (1668)@@@Novial Lexike. International Dictionary. Dictionnaire International. Internationales Worterbuch		not citable	0.0	NA	NA	5
The Modern Language Review	1975	['J. J. White']	Review Article	['eng']	1825	article | book-review	10.2307/3724980	1	Dürrenmatt, Frisch, Weiss : deutsches Drama der Gegenwart zwischen Kritik und Utopie		not citable	0.0	NA	NA	1
The Review of English Studies	1946	['D. J. Gordon']	Review Article	['eng']	426	article | book-review	10.2307/509710	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1985	['Max F. Schulz']	Review Article	['eng']	1932	article | book-review	10.2307/3729401	0	Jewish writers of North America : a guide to information sources		not citable	0.0	NA	NA	0
The Modern Language Review	2016	['Steven Matthews']	Finding Consonance in the Disparities: Geoffrey Hill, John Milton, and Modernist Poetics	['eng']	9052	article | research-article	10.5699/modelangrevi.111.3.0665	0	Finding Consonance in the Disparities: Geoffrey Hill, John Milton, and Modernist Poetics	2016	found	1.0	Modern Language Review	S. Matthews	0
The Review of English Studies	1926	['R. W. C.']	Dr. Johnson and Dr. Taylor	['eng']	743	article | research-article	10.2307/508357	0		no date	no strong match	0.0	NA	NA	0
The Modern Language Review	1994	['J. J. White']	Review Article	['eng']	1308	article | book-review	10.2307/3735346	30	Nabokov's Early Fiction: Patterns of Self and Other	1994-04-01	not citable	0.0	NA	NA	30
The Modern Language Review	2009	['Pierpaolo Antonello']	Review Article	['eng']	889	article | book-review	10.2307/20468186	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1948	['Hilary Adams']	Review Article	['eng']	1329	article | book-review	10.2307/3716784	0	Tradizione italiana e cultura europea	1948-07-01	not citable	0.0	NA	NA	0
The Modern Language Review	1952	['Albert E. Sloman']	Review Article	['eng']	1284	article | book-review	10.2307/3718737	0	Processo de cartas de amores		not citable	0.0	NA	NA	0
ELH	2010	['EMILY RENA-DOZIER']	"GOTHIC CRITICISMS: ""WUTHERING HEIGHTS"" AND NINETEENTH-CENTURY LITERARY HISTORY"	['eng']	8517	article | research-article	10.2307/40963185	0	Gothic Criticisms: Wuthering Heights and Nineteenth-Century Literary History	2010	found	1.08	ELH	Emily Rena-Dozier	11
Modern Philology	1926	['Francis A. Wood']	Some Revised Etymologies	['eng']	2120	article | research-article	10.2307/433814	0	Some Revised Etymologies	1926	found	1.12	Modern Philology	F. A. Wood	0
The Modern Language Review	1971	['Judith Purver']	Review Article	['eng']	1272	article | book-review	10.2307/3722958	3	"Übergang zum Endlichen : der Weg des Dichters in Novalis' ""Heinrich von Ofterdingen"""	1971-04-01	not citable	0.0	NA	NA	3
ELH	2013	['ERIC STRAND']	"LIGHTING OUT FOR THE GLOBAL TERRITORY: POSTWAR REVISIONS OF CULTURAL ANTHROPOLOGY AND JEWISH AMERICAN IDENTITY IN BELLOW'S ""HENDERSON THE RAIN KING"""	['eng']	13689	article | research-article	10.2307/23356375	0	Lighting Out for the Global Territory: Postwar Revisions of Cultural Anthropology and Jewish American Identity in Bellow’s Henderson the Rain King	2013	found	1.12	ELH	Eric Strand	20
Modern Philology	1952	['Charles A. McLaughlin']	Review Article	['eng']	5458	article | book-review	10.2307/434690	0		no date	not citable	0.0	NA	NA	0
The Review of English Studies	2014	['anonymous']	Front Matter	['eng']	899	article | misc	10.2307/24541107	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1943	['A. Lytton Sells']	Review Article	['eng']	1042	article | book-review	10.2307/3717390	10	From cubism to surrealism in French literature		not citable	0.0	NA	NA	10
Critical Inquiry	1981	['anonymous']	Front Matter	['eng']	821	article | misc	10.2307/1343140	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1983	['C. David Benson']	"Gawain's Defence of Lancelot in Malory's ""Death of Arthur"""	['eng']	3715	article | research-article	10.2307/3729807	3	"Gawain's Defence of Lancelot in Malory's ""Death of Arthur"""	1983-04-01	already found	0.0	NA	NA	3
PMLA	1986	['anonymous']	Back Matter	['eng']	56546	article | misc	10.2307/462370	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1989	['Maximillian E. Novak']	Review Article	['eng']	1964	article | book-review	10.2307/3731589	0		no date	not citable	0.0	NA	NA	0
PMLA	1989	['Barbara Herrnstein Smith']	Presidential Address 1988. Limelight: Reflections on a Public Year	['eng']	6845	article | research-article	10.2307/462438	1	Presidential Address 1988: Limelight: Reflections on a Public Year	1989-05-01	already found	0.0	NA	NA	1
The Modern Language Review	1969	['D. J. A. Ross']	Review Article	['eng']	1350	article | book-review	10.2307/3723681	1	The Epic Quest		not citable	0.0	NA	NA	1
New Literary History	1981	['anonymous']	Back Matter	['eng']	1982	article | misc	10.2307/469035	0		no date	not citable	0.0	NA	NA	0
The Review of English Studies	1964	['Peter Ure']	Review Article	['eng']	1874	article | book-review	10.2307/512332	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1921	['H. J. C. Grierson']	Review Article	['eng']	4106	article | book-review	10.2307/3713933	3	Les Doctrines Medievales chez Donne, le poete metaphysicien de l'Angleterre (1573-1631)@@@La Pensee de Milton@@@Milton und das Licht: Die Geschichte einer Seelenerkrankung	1921-07-01	not citable	0.0	NA	NA	3
The Modern Language Review	1913	['H. Chatelain']	Review Article	['fre']	1534	article | book-review	10.2307/3712609	0		no date	not citable	0.0	NA	NA	0
Modern Philology	1985	['anonymous']	Front Matter	['eng']	823	article | misc	10.2307/437000	0		no date	not citable	0.0	NA	NA	0
Modern Philology	2014	['Su Fang Ng']	<em>Laura Lunger Knoppers</em> Politicizing Domesticity from Henrietta Maria to Milton’s Eve	['eng']	1430	article | book-review	10.1086/674691	0	Laura Lunger Knoppers Politicizing Domesticity from Henrietta Maria to Milton’s Eve	2014-05-01	no strong match	0.0	NA	NA	0
The Modern Language Review	1992	['Nigel F. Palmer']	Review Article	['eng']	1227	article | book-review	10.2307/3731534	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1994	['anonymous']	Volume Information	['eng']	12526	article | misc	10.2307/3733893	0		no date	not citable	0.0	NA	NA	0
The Review of English Studies	1980	['Terry Eagleton']	Review Article	['eng']	482	article | book-review	10.2307/514007	0		no date	not citable	0.0	NA	NA	0
Modern Philology	1997	['Elizabeth Drumm']	Review Article	['eng']	1753	article | book-review	10.2307/438596	0		no date	not citable	0.0	NA	NA	0
Modern Philology	1911	['Barry Cerf']	"The Franco-Italian ""Chevalerie Ogier"" (III. Notes)"	['eng']	7434	article | research-article	10.2307/432717	0	"The Franco-Italian ""Chevalerie Ogier"" (III. Notes)"	1911	found	1.12	Modern Philology	Barry Cerf	0
The Modern Language Review	1936	['R. D. Waller']	Review Article	['eng']	1056	article | book-review	10.2307/3715078	0	La Critica Letteraria di Henry W. Longfellow	1936-07-01	not citable	0.0	NA	NA	0
Critical Inquiry	2004	['Teresa de Lauretis']	Statement Due	['eng']	1330	article | research-article	10.1086/421134	9	Statement Due	2004-01-01	already found	0.0	NA	NA	9
Modern Philology	1990	['Morris Beja']	Review Article	['eng']	1571	article | book-review	10.2307/438571	0		no date	not citable	0.0	NA	NA	0
PMLA	1922	['anonymous']	Back Matter	['eng']	32055	article | misc	10.2307/457153	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1994	['William Hanson']	Review Article	['eng']	1910	article | book-review	10.2307/3733229	0		no date	not citable	0.0	NA	NA	0
The Review of English Studies	1967	['anonymous']	List of Publications Received	['eng']	3070	article | misc	10.2307/512302	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1943	['James P. Oakden']	Review Article	['eng']	1118	article | book-review	10.2307/3716707	43	The rhythm of Beowulf		not citable	0.0	NA	NA	43
The Modern Language Review	1949	['R. C. Knight']	Review Article	['eng']	1299	article | book-review	10.2307/3717678	2	Tragedie cornelienne, tragedie racinienne. Etude sur les sources de l'interet dramatique	1949-07-01	not citable	0.0	NA	NA	2
Critical Inquiry	2016	['Jonathan Elmer']	Review Article	['eng']	1203	article | book-review	10.2307/26547684	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1973	['Valerio Lucchesi']	Review Article	['eng']	1249	article | book-review	10.2307/3726248	4	L'influsso linguistico greco a Venezia		not citable	0.0	NA	NA	4
PMLA	1965	['Emery E. George']	"Some New Hölderlin Decipherments from the ""Homburger Folioheft"""	['eng']	10964	article | research-article	10.2307/461133	1	Some New Hölderlin Decipherments From The “Homburger Folioheft”	1965-03-01	already found	0.0	NA	NA	1
The Review of English Studies	1976	['D. S. Brewer']	Review Article	['eng']	1588	article | book-review	10.2307/513843	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1971	['Peter Skrine']	Review Article	['eng']	1323	article | book-review	10.2307/3722948	1	Deutsche Romane der Barockzeit	1971-04-01	not citable	0.0	NA	NA	1
The Modern Language Review	2003	['Bohuslava Bradbrook']	Review Article	['eng']	757	article | book-review	10.2307/3738273	0	An Introduction to Twentieth Century Czech Fiction: Comedies of Defiance by Robert Porter (review)	2003-01-01	not citable	0.0	NA	NA	0
Modern Philology	1966	['Elias Schwartz']	Review Article	['eng']	738	article | book-review	10.2307/436054	0		no date	not citable	0.0	NA	NA	0
The Review of English Studies	1971	['Derek Roper']	Review Article	['eng']	1074	article | book-review	10.2307/512404	0		no date	not citable	0.0	NA	NA	0
PMLA	1925	['Samuel C. Chew']	A Note on Peterloo	['eng']	227	article | research-article	10.2307/457235	0	A Note on Peterloo	1925	found	1.12	PMLA/Publications of the Modern Language Association of America	Samuel C. Chew	0
New Literary History	1976	['Gillian Cohen']	Visual Imagery in Thought	['eng']	5558	article | research-article	10.2307/468560	4	Visual Imagery in Thought	1976-01-21	already found	0.0	NA	NA	4
