author,data
['Nils Langer'],Result for ['Nils Langer']
['A. Leigh Deneef'],Result for ['A. Leigh Deneef']
['GEORGINA GREEN'],Result for ['GEORGINA GREEN']
['Christopher J. Smith'],Result for ['Christopher J. Smith']
['Helen Andrews Kahin'],Result for ['Helen Andrews Kahin']
['T. E. Lawrenson'],Result for ['T. E. Lawrenson']
['Robert E. Spiller'],Result for ['Robert E. Spiller']
['George Jack'],Result for ['George Jack']
['Margaret Crum'],Result for ['Margaret Crum']
['Christopher D.\u200a Johnson'],Result for ['Christopher D.\u200a Johnson']
['L. N. Broughton'],Result for ['L. N. Broughton']
['PAMELA GOSSIN'],Result for ['PAMELA GOSSIN']
['Akeel Bilgrami'],Result for ['Akeel Bilgrami']
['Philip Allison Shelley'],Result for ['Philip Allison Shelley']
['Paul Kaufman'],Result for ['Paul Kaufman']
['E. Beatrice Daw'],Result for ['E. Beatrice Daw']
['Patricia Craddock'],Result for ['Patricia Craddock']
['Clive Bush'],Result for ['Clive Bush']
['Seán Hand'],Result for ['Seán Hand']
['CHARLES MUNDYE'],Result for ['CHARLES MUNDYE']
['Teresa Webber'],Result for ['Teresa Webber']
['Helen T. McMillan Buckhurst'],Result for ['Helen T. McMillan Buckhurst']
['Malte Herwig'],Result for ['Malte Herwig']
['R. J. Fehrenbach'],Result for ['R. J. Fehrenbach']
['Rod Beecham'],Result for ['Rod Beecham']
['A. G. F. van Holk'],Result for ['A. G. F. van Holk']
['Josiah Combs'],Result for ['Josiah Combs']
 harry harootunian,Result for  harry harootunian
['William Whallon'],Result for ['William Whallon']
['Henry Alfred Todd'],Result for ['Henry Alfred Todd']
['D. Simon Evans'],Result for ['D. Simon Evans']
['Arthur Dickson'],Result for ['Arthur Dickson']
['Robin Kelsey'],Result for ['Robin Kelsey']
['Mary E. Stewart'],Result for ['Mary E. Stewart']
['Robert L. Mack'],Result for ['Robert L. Mack']
"[""Basem L. Ra'ad""]","Result for [""Basem L. Ra'ad""]"
['G. C. Johnson'],Result for ['G. C. Johnson']
['Elizabeth Kraft'],Result for ['Elizabeth Kraft']
['Stephen Muecke'],Result for ['Stephen Muecke']
['O. D. Macrae-Gibson'],Result for ['O. D. Macrae-Gibson']
['Paul B. Armstrong'],Result for ['Paul B. Armstrong']
['Teresa Michals'],Result for ['Teresa Michals']
['Thomas W. Copeland'],Result for ['Thomas W. Copeland']
['Steven Shankman'],Result for ['Steven Shankman']
['R. G. Lunt'],Result for ['R. G. Lunt']
['Paul Norgate'],Result for ['Paul Norgate']
['Elke Brems'],Result for ['Elke Brems']
['James Rann'],Result for ['James Rann']
['Lisa Hopkins'],Result for ['Lisa Hopkins']
['Catherine Silverstone'],Result for ['Catherine Silverstone']
['Robert R. Edwards'],Result for ['Robert R. Edwards']
['Rebecca Rees'],Result for ['Rebecca Rees']
['Camille W. Slights'],Result for ['Camille W. Slights']
['C. B. West'],Result for ['C. B. West']
['Norman A. Brittin'],Result for ['Norman A. Brittin']
['Homi K. Bhabha'],Result for ['Homi K. Bhabha']
['R. Clifton Spargo'],Result for ['R. Clifton Spargo']
['Jeanne Riou'],Result for ['Jeanne Riou']
['David S. Gewanter'],Result for ['David S. Gewanter']
['J. Finlayson'],Result for ['J. Finlayson']
['Sidney Gottlieb'],Result for ['Sidney Gottlieb']
['Charles Garton'],Result for ['Charles Garton']
['MICHAEL COBB'],Result for ['MICHAEL COBB']
['J. Steel'],Result for ['J. Steel']
 charles g osgood,Result for  charles g osgood
['Virgil B. Heltzel'],Result for ['Virgil B. Heltzel']
['Henry W. Meikle'],Result for ['Henry W. Meikle']
 peter mann,Result for  peter mann
['Richard E. Matlak'],Result for ['Richard E. Matlak']
 david bonnell green,Result for  david bonnell green
['Andrew S. Cairncross'],Result for ['Andrew S. Cairncross']
['Stephen Bottoms'],Result for ['Stephen Bottoms']
['Friedrich Schönemann'],Result for ['Friedrich Schönemann']
['Maria Selinger'],Result for ['Maria Selinger']
['Pamela L. Caughie'],Result for ['Pamela L. Caughie']
['Clare Hayes-Brady'],Result for ['Clare Hayes-Brady']
['John M. Yoklavich'],Result for ['John M. Yoklavich']
['R. R. Milner-Gulland'],Result for ['R. R. Milner-Gulland']
['Richard Meek'],Result for ['Richard Meek']
['Paul Elledge'],Result for ['Paul Elledge']
 slavoj žižek,Result for  slavoj žižek
['Richard Neuse'],Result for ['Richard Neuse']
['Bertram Joseph'],Result for ['Bertram Joseph']
['Thomas Dilworth'],Result for ['Thomas Dilworth']
['Richard W. F. Kroll'],Result for ['Richard W. F. Kroll']
['A. D. H. Bivar'],Result for ['A. D. H. Bivar']
['Ronald Knowles'],Result for ['Ronald Knowles']
['Amitava Kumar'],Result for ['Amitava Kumar']
['Roy Sellars'],Result for ['Roy Sellars']
 susan j wolfson,Result for  susan j wolfson
['Edward James'],Result for ['Edward James']
['Christina von Nolcken'],Result for ['Christina von Nolcken']
['Lynne Magnusson'],Result for ['Lynne Magnusson']
['Laurie J. Shannon'],Result for ['Laurie J. Shannon']
['Gauri Viswanathan'],Result for ['Gauri Viswanathan']
['Frances Smith Foster'],Result for ['Frances Smith Foster']
['Beongcheon Yu'],Result for ['Beongcheon Yu']
['Derek Flitter'],Result for ['Derek Flitter']
['Beverly Coyle'],Result for ['Beverly Coyle']
['Robert Gillett'],Result for ['Robert Gillett']
['Flavio Rurale'],Result for ['Flavio Rurale']
['Andrew Tretiak'],Result for ['Andrew Tretiak']
['Michael Sharp'],Result for ['Michael Sharp']
['Helen Richman'],Result for ['Helen Richman']
['Wendell Stacy Johnson'],Result for ['Wendell Stacy Johnson']
['E. G. Furstenheim'],Result for ['E. G. Furstenheim']
['LUKE WILSON'],Result for ['LUKE WILSON']
['J. R. de J. Jackson'],Result for ['J. R. de J. Jackson']
['Christopher Nash'],Result for ['Christopher Nash']
['John L. Simon'],Result for ['John L. Simon']
['E. D. Priestley Evans'],Result for ['E. D. Priestley Evans']
['Lawrence M. Clopper'],Result for ['Lawrence M. Clopper']
['William L. Vance'],Result for ['William L. Vance']
['Martin Wechselblatt'],Result for ['Martin Wechselblatt']
 robert scholes,Result for  robert scholes
"[""HELEN O'CONNELL""]","Result for [""HELEN O'CONNELL""]"
['Herbert N. Schneidau'],Result for ['Herbert N. Schneidau']
['Todd Carmody'],Result for ['Todd Carmody']
['John Dover Wilson'],Result for ['John Dover Wilson']
['Julia Reinhard Lupton'],Result for ['Julia Reinhard Lupton']
['Chadwick Allen'],Result for ['Chadwick Allen']
['David Shepherd'],Result for ['David Shepherd']
['Sophie Smith'],Result for ['Sophie Smith']
['William M. Whitby'],Result for ['William M. Whitby']
['Barry Jordan'],Result for ['Barry Jordan']
['Hilda M. Hulme'],Result for ['Hilda M. Hulme']
['Robert Kimbrough'],Result for ['Robert Kimbrough']
['Ronald B. Herzman'],Result for ['Ronald B. Herzman']
['Bernardo Blanco-González'],Result for ['Bernardo Blanco-González']
['Ralph J. Penny'],Result for ['Ralph J. Penny']
['Ivan L. Schulze'],Result for ['Ivan L. Schulze']
['Nina Taylor'],Result for ['Nina Taylor']
['Ernst Jockers'],Result for ['Ernst Jockers']
['Sarah Beckwith'],Result for ['Sarah Beckwith']
['W. J. Gruffydd'],Result for ['W. J. Gruffydd']
['Margaret Lowe'],Result for ['Margaret Lowe']
['MARTHA VICINUS'],Result for ['MARTHA VICINUS']
['Paul Russell'],Result for ['Paul Russell']
['Stuart P. Sherman'],Result for ['Stuart P. Sherman']
['T. B. Rudmose-Brown'],Result for ['T. B. Rudmose-Brown']
['EILEEN JULIEN'],Result for ['EILEEN JULIEN']
 paul mueschke,Result for  paul mueschke
['E. A. McCobb'],Result for ['E. A. McCobb']
['Julia Boffey'],Result for ['Julia Boffey']
['E. M. Rutson'],Result for ['E. M. Rutson']
['Yves Saint-Cyr'],Result for ['Yves Saint-Cyr']
['Eric Partridge'],Result for ['Eric Partridge']
['David S. Miall'],Result for ['David S. Miall']
['Ivana Živančević-Sekeruš'],Result for ['Ivana Živančević-Sekeruš']
['Jean-Marc Dewaele'],Result for ['Jean-Marc Dewaele']
['KATHRYN POWELL'],Result for ['KATHRYN POWELL']
['SUZANNE BOST'],Result for ['SUZANNE BOST']
['S. Pit Corder'],Result for ['S. Pit Corder']
['John Mountford'],Result for ['John Mountford']
['Colin Milburn'],Result for ['Colin Milburn']
['John D. Lyons'],Result for ['John D. Lyons']
['David H. Stevens'],Result for ['David H. Stevens']
['Etholine Aycock'],Result for ['Etholine Aycock']
['H. Thomas'],Result for ['H. Thomas']
['W. P. Bridgwater'],Result for ['W. P. Bridgwater']
['Donald John'],Result for ['Donald John']
['MEENA ALEXANDER'],Result for ['MEENA ALEXANDER']
['Kate Narveson'],Result for ['Kate Narveson']
['Jean-Claude Salle'],Result for ['Jean-Claude Salle']
['Bo Earle'],Result for ['Bo Earle']
['Charles B. Woods'],Result for ['Charles B. Woods']
['Mihoko Suzuki'],Result for ['Mihoko Suzuki']
['Elaine Marks'],Result for ['Elaine Marks']
['H. F. Field'],Result for ['H. F. Field']
['Richard D. Altick'],Result for ['Richard D. Altick']
['Tony Tanner'],Result for ['Tony Tanner']
['Mary Poovey'],Result for ['Mary Poovey']
['Roger Little'],Result for ['Roger Little']
['Helge Kökeritz'],Result for ['Helge Kökeritz']
['William Christie'],Result for ['William Christie']
['Lan Donaldson'],Result for ['Lan Donaldson']
['E. Alden Dunham'],Result for ['E. Alden Dunham']
['Daniel Gutiérrez Trápaga'],Result for ['Daniel Gutiérrez Trápaga']
 linda benzvi,Result for  linda benzvi
['Burton J. Fishman'],Result for ['Burton J. Fishman']
['Lolette Kuby'],Result for ['Lolette Kuby']
['Lara M. Crowley'],Result for ['Lara M. Crowley']
['Albert E. Kalson'],Result for ['Albert E. Kalson']
['Jeffrey Walker'],Result for ['Jeffrey Walker']
['Jean H. Hagstrum'],Result for ['Jean H. Hagstrum']
['Norman Suckling'],Result for ['Norman Suckling']
['Cristina Malcolmson'],Result for ['Cristina Malcolmson']
['W. Matthews'],Result for ['W. Matthews']
['S. Krishnamurti'],Result for ['S. Krishnamurti']
['Stefano Evangelista'],Result for ['Stefano Evangelista']
['Egon Schwarz'],Result for ['Egon Schwarz']
['H. Oelsner'],Result for ['H. Oelsner']
['Cicely Palser Havely'],Result for ['Cicely Palser Havely']
 marcia l welles,Result for  marcia l welles
['Edmund Papst'],Result for ['Edmund Papst']
['Elizabeth J. Bellamy'],Result for ['Elizabeth J. Bellamy']
['J. R. Carey'],Result for ['J. R. Carey']
['J. H. King'],Result for ['J. H. King']
['Heinrich Mutschmann'],Result for ['Heinrich Mutschmann']
['S. C. Gardiner'],Result for ['S. C. Gardiner']
['Eugene F. Kaelin'],Result for ['Eugene F. Kaelin']
"[""George O'Brien""]","Result for [""George O'Brien""]"
['Cecilia A. Hotchner'],Result for ['Cecilia A. Hotchner']
['Tim Kendall'],Result for ['Tim Kendall']
['David Herman'],Result for ['David Herman']
['W. A. G. Doyle-Davidson'],Result for ['W. A. G. Doyle-Davidson']
['M. van Wyk Smith'],Result for ['M. van Wyk Smith']
['Paul Roberts'],Result for ['Paul Roberts']
['Paul Lewis-Smith'],Result for ['Paul Lewis-Smith']
['O. B. Hardison'],Result for ['O. B. Hardison']
['Olin H. Moore'],Result for ['Olin H. Moore']
['Elizabeth M. Wright'],Result for ['Elizabeth M. Wright']
['Rachel Teukolsky'],Result for ['Rachel Teukolsky']
['Penrith Goff'],Result for ['Penrith Goff']
['Paul A. Parrish'],Result for ['Paul A. Parrish']
['MARGARETA INGRID CHRISTIAN'],Result for ['MARGARETA INGRID CHRISTIAN']
['John Walker'],Result for ['John Walker']
['B. J. Roberts'],Result for ['B. J. Roberts']
['Ted-Larry Pebworth'],Result for ['Ted-Larry Pebworth']
['Meri-Jane Rochelson'],Result for ['Meri-Jane Rochelson']
['Stephen J. Spector'],Result for ['Stephen J. Spector']
['A. J. Cascardi'],Result for ['A. J. Cascardi']
['N. K. SUGIMURA'],Result for ['N. K. SUGIMURA']
 eisneramper llp,Result for  eisneramper llp
['Edward P. Davis'],Result for ['Edward P. Davis']
['W. Perrett'],Result for ['W. Perrett']
['Warner Wick'],Result for ['Warner Wick']
['Kathryn Schwarz'],Result for ['Kathryn Schwarz']
['Ralph Hanna'],Result for ['Ralph Hanna']
['Theresa M. DiPasquale'],Result for ['Theresa M. DiPasquale']
['Jesper Gulddal'],Result for ['Jesper Gulddal']
['Iain McGilchrist'],Result for ['Iain McGilchrist']
['Robert Hasenfratz'],Result for ['Robert Hasenfratz']
 donald w foster,Result for  donald w foster
['Fanni Bogdanow'],Result for ['Fanni Bogdanow']
['Eric Haywood'],Result for ['Eric Haywood']
['J. Lyons'],Result for ['J. Lyons']
['I. L. McClelland'],Result for ['I. L. McClelland']
['Edmund Reiss'],Result for ['Edmund Reiss']
['Amrohini Sahay'],Result for ['Amrohini Sahay']
['Peter Schwenger'],Result for ['Peter Schwenger']
['JOHN BAXENDALE'],Result for ['JOHN BAXENDALE']
['Sibelan Forrester'],Result for ['Sibelan Forrester']
['Arthur L. Vogelback'],Result for ['Arthur L. Vogelback']
['DAVID WOMERSLEY'],Result for ['DAVID WOMERSLEY']
['B. Kenyon'],Result for ['B. Kenyon']
['J. T. Pring'],Result for ['J. T. Pring']
['George R. Creeger'],Result for ['George R. Creeger']
 yeats,Result for  yeats
['LEO BERSANI'],Result for ['LEO BERSANI']
['John P. Zomchick'],Result for ['John P. Zomchick']
['David McWhirter'],Result for ['David McWhirter']
['Alastair Renfrew'],Result for ['Alastair Renfrew']
['J. C. Beckett'],Result for ['J. C. Beckett']
['John Fuller'],Result for ['John Fuller']
['Harold Tolliver'],Result for ['Harold Tolliver']
['D. R. Woolf'],Result for ['D. R. Woolf']
['Therese Cox'],Result for ['Therese Cox']
['Paul van Tieghem'],Result for ['Paul van Tieghem']
['Ruth Nevo'],Result for ['Ruth Nevo']
['James H. Averill'],Result for ['James H. Averill']
['Ian Middlebrook'],Result for ['Ian Middlebrook']
['David Levin'],Result for ['David Levin']
['Francesca Kazan'],Result for ['Francesca Kazan']
['JOHN BOLIN'],Result for ['JOHN BOLIN']
 stephen e severn,Result for  stephen e severn
['J. M. S. Pasley'],Result for ['J. M. S. Pasley']
['Mary\xa0Catherine Davidson'],Result for ['Mary\xa0Catherine Davidson']
['Terence Hawkes'],Result for ['Terence Hawkes']
['A. H. Scouten'],Result for ['A. H. Scouten']
['Gerald Macklin'],Result for ['Gerald Macklin']
['Isabel McCourt'],Result for ['Isabel McCourt']
['G. A. Wells'],Result for ['G. A. Wells']
['Matthew Gibson'],Result for ['Matthew Gibson']
['Jay B. Hubbell'],Result for ['Jay B. Hubbell']
['Peter S. Green'],Result for ['Peter S. Green']
['ILYA KLIGER'],Result for ['ILYA KLIGER']
['Scott Elledge'],Result for ['Scott Elledge']
['Kevin Gilmartin'],Result for ['Kevin Gilmartin']
['Georgine E. Brereton'],Result for ['Georgine E. Brereton']
['Joan Dejean'],Result for ['Joan Dejean']
['Koenraad Geldof'],Result for ['Koenraad Geldof']
['Jo Gill'],Result for ['Jo Gill']
['David Ketterer'],Result for ['David Ketterer']
['Oliver Walton'],Result for ['Oliver Walton']
['Stephen Manning'],Result for ['Stephen Manning']
['J. Dechamps'],Result for ['J. Dechamps']
['Mark Payne'],Result for ['Mark Payne']
['Carolyn Allen'],Result for ['Carolyn Allen']
['Arch Tait'],Result for ['Arch Tait']
['Jürgen Meyer'],Result for ['Jürgen Meyer']
 c t watts,Result for  c t watts
['Frank H. Ellis'],Result for ['Frank H. Ellis']
['James C. Simmons'],Result for ['James C. Simmons']
['Helen J. Swift'],Result for ['Helen J. Swift']
['Feisal G. Mohamed'],Result for ['Feisal G. Mohamed']
['Bernard P. E. Bentley'],Result for ['Bernard P. E. Bentley']
['C. J. Peterson'],Result for ['C. J. Peterson']
['Scott Degregorio'],Result for ['Scott Degregorio']
['JESSICA L. MALAY'],Result for ['JESSICA L. MALAY']
['THOMAS A. BREDEHOFT'],Result for ['THOMAS A. BREDEHOFT']
['Millicent Bell'],Result for ['Millicent Bell']
['John L. Foster'],Result for ['John L. Foster']
 mabel lee,Result for  mabel lee
['Maude Vanhaelen'],Result for ['Maude Vanhaelen']
['Casimir Douglass Zdanowicz'],Result for ['Casimir Douglass Zdanowicz']
['ALLISON CARRUTH'],Result for ['ALLISON CARRUTH']
['Tenney Nathanson'],Result for ['Tenney Nathanson']
['Minna Steele Smith'],Result for ['Minna Steele Smith']
['Julian Fung'],Result for ['Julian Fung']
['JULIAN MURPHET'],Result for ['JULIAN MURPHET']
['Edward Forman'],Result for ['Edward Forman']
['Ronald B. Hatch'],Result for ['Ronald B. Hatch']
['Walter S. Achtert'],Result for ['Walter S. Achtert']
 keith d miller,Result for  keith d miller
['Joseph Foladare'],Result for ['Joseph Foladare']
['J. P. Stern'],Result for ['J. P. Stern']
['CHRISTOPHER CONNERY'],Result for ['CHRISTOPHER CONNERY']
['David M. Robinson'],Result for ['David M. Robinson']
['S. Anne Stascavage'],Result for ['S. Anne Stascavage']
['Thomas F. Anderson'],Result for ['Thomas F. Anderson']
['Derek Pearsail'],Result for ['Derek Pearsail']
['Robert M. Wernaer'],Result for ['Robert M. Wernaer']
['Penny van Toorn'],Result for ['Penny van Toorn']
['Pamela Clemit'],Result for ['Pamela Clemit']
['Ann Louise Kibbie'],Result for ['Ann Louise Kibbie']
['Thelma N. Greenfield'],Result for ['Thelma N. Greenfield']
['Suresh Raval'],Result for ['Suresh Raval']
['Henry R. Lang'],Result for ['Henry R. Lang']
['George Mills Harper'],Result for ['George Mills Harper']
['D. Bradley'],Result for ['D. Bradley']
['Frank Salmon'],Result for ['Frank Salmon']
['Anthony Hippisley'],Result for ['Anthony Hippisley']
['Bruce R. Smith'],Result for ['Bruce R. Smith']
['E. Bird'],Result for ['E. Bird']
['Beth Palmer'],Result for ['Beth Palmer']
['Nigel Armstrong'],Result for ['Nigel Armstrong']
['Andrew Hiscock'],Result for ['Andrew Hiscock']
['ANDREW PARKER'],Result for ['ANDREW PARKER']
['John Jowett'],Result for ['John Jowett']
['Lesley Lipson'],Result for ['Lesley Lipson']
['Georges Bas'],Result for ['Georges Bas']
['William E. Cain'],Result for ['William E. Cain']
['Page duBois'],Result for ['Page duBois']
['Bernard Dionysius Geoghegan'],Result for ['Bernard Dionysius Geoghegan']
['Lynn A. Casmier-Paz'],Result for ['Lynn A. Casmier-Paz']
['Paul Studer'],Result for ['Paul Studer']
['Nick Hodgin'],Result for ['Nick Hodgin']
 rory tanner,Result for  rory tanner
['George M. Baker'],Result for ['George M. Baker']
['Chris Ware'],Result for ['Chris Ware']
['Ruth House Webber'],Result for ['Ruth House Webber']
['Jürgen Wolter'],Result for ['Jürgen Wolter']
['John Albert Sanford'],Result for ['John Albert Sanford']
['Benjamin Morgan'],Result for ['Benjamin Morgan']
['Susan Zieger'],Result for ['Susan Zieger']
['Harold Bloom'],Result for ['Harold Bloom']
['Larry S. Champion'],Result for ['Larry S. Champion']
['SARAH VAN DER LAAN'],Result for ['SARAH VAN DER LAAN']
['Eve Rosenhaft'],Result for ['Eve Rosenhaft']
['Giovanni Carsaniga'],Result for ['Giovanni Carsaniga']
['Walter L. Reed'],Result for ['Walter L. Reed']
['Hallett D. Smith'],Result for ['Hallett D. Smith']
['Charles G. Osgood'],Result for ['Charles G. Osgood']
['R. A. del Piero'],Result for ['R. A. del Piero']
['Joan Webber'],Result for ['Joan Webber']
['Marian Mead'],Result for ['Marian Mead']
['Clare H. Crowston'],Result for ['Clare H. Crowston']
['M. D. Learned'],Result for ['M. D. Learned']
['Carl Lofmark'],Result for ['Carl Lofmark']
['William D. Paden'],Result for ['William D. Paden']
['Simon Horobin'],Result for ['Simon Horobin']
['Mark Wormald'],Result for ['Mark Wormald']
['David Blameres'],Result for ['David Blameres']
['Chas. B. Newcomer'],Result for ['Chas. B. Newcomer']
['James G. McManaway'],Result for ['James G. McManaway']
['Judith Still'],Result for ['Judith Still']
['Robert Kirsner'],Result for ['Robert Kirsner']
['Sylvia Molloy'],Result for ['Sylvia Molloy']
['Aubrey Hawkins'],Result for ['Aubrey Hawkins']
['Reid A. Bryson'],Result for ['Reid A. Bryson']
['Maurice Blackman'],Result for ['Maurice Blackman']
['John H. Sutherland'],Result for ['John H. Sutherland']
['Charles Skinner'],Result for ['Charles Skinner']
['Massimo Bacigalypo'],Result for ['Massimo Bacigalypo']
['Edward Jacobs'],Result for ['Edward Jacobs']
 kenneth northcott,Result for  kenneth northcott
['Christopher McCullough'],Result for ['Christopher McCullough']
['Katie Cooper'],Result for ['Katie Cooper']
['Sianne Ngai'],Result for ['Sianne Ngai']
['Nicolas J. Perella'],Result for ['Nicolas J. Perella']
 donald morton,Result for  donald morton
['STEFANIE MARKOVITS'],Result for ['STEFANIE MARKOVITS']
['G. H. McWilliam'],Result for ['G. H. McWilliam']
['Francis J. Crowley'],Result for ['Francis J. Crowley']
['A. M. David'],Result for ['A. M. David']
['A. J. Holden'],Result for ['A. J. Holden']
['Robert J. Morrissey'],Result for ['Robert J. Morrissey']
['Michael Rothberg'],Result for ['Michael Rothberg']
['JAMES WHITEHEAD'],Result for ['JAMES WHITEHEAD']
['E. D. James'],Result for ['E. D. James']
['J. Orr'],Result for ['J. Orr']
['Marleen S. Barr'],Result for ['Marleen S. Barr']
['Albert H. Silverman'],Result for ['Albert H. Silverman']
['John N. Green'],Result for ['John N. Green']
['Rebecca Douglas'],Result for ['Rebecca Douglas']
['Robert M. Schuler'],Result for ['Robert M. Schuler']
['Nigel Glendinning'],Result for ['Nigel Glendinning']
['Michael Harney'],Result for ['Michael Harney']
['Huw Aled Lewis'],Result for ['Huw Aled Lewis']
['E. L. Allen'],Result for ['E. L. Allen']
['Harold R. Walley'],Result for ['Harold R. Walley']
['Charles C. Bernheimer'],Result for ['Charles C. Bernheimer']
['Michael Murrin'],Result for ['Michael Murrin']
['David A. Wells'],Result for ['David A. Wells']
['W. W. Lawrence'],Result for ['W. W. Lawrence']
['Bart Vervaeck'],Result for ['Bart Vervaeck']
['JENNIFER WICKE'],Result for ['JENNIFER WICKE']
['H. B. C.'],Result for ['H. B. C.']
['Catharine H. Savage'],Result for ['Catharine H. Savage']
['Steven M. Cohan'],Result for ['Steven M. Cohan']
 david fairer,Result for  david fairer
['M. Thomas Inge'],Result for ['M. Thomas Inge']
['A. D. Deyermond'],Result for ['A. D. Deyermond']
['J. T. Hardyman'],Result for ['J. T. Hardyman']
['Henriette C. K. Naeseth'],Result for ['Henriette C. K. Naeseth']
['Heinz Bluhm'],Result for ['Heinz Bluhm']
['E. Randolph Daniel'],Result for ['E. Randolph Daniel']
['Richard Salmon'],Result for ['Richard Salmon']
 erica freiberg,Result for  erica freiberg
['Colin Johnson'],Result for ['Colin Johnson']
['Garry Wills'],Result for ['Garry Wills']
['J. Marks'],Result for ['J. Marks']
['Jonathan\xa0Gil Harris'],Result for ['Jonathan\xa0Gil Harris']
['Sarah Salih'],Result for ['Sarah Salih']
['Robert G. Cook'],Result for ['Robert G. Cook']
['D. W. Hopkins'],Result for ['D. W. Hopkins']
 julia spicher kasdorf,Result for  julia spicher kasdorf
 matthew griffin,Result for  matthew griffin
['Kevis Goodman'],Result for ['Kevis Goodman']
 laura heffernan,Result for  laura heffernan
['M. M. Reese'],Result for ['M. M. Reese']
['Allan Griffith Chester'],Result for ['Allan Griffith Chester']
['Norris J. Lacy'],Result for ['Norris J. Lacy']
['R. C. Jarvis'],Result for ['R. C. Jarvis']
['S. R. Golding'],Result for ['S. R. Golding']
['Louis A. Renza'],Result for ['Louis A. Renza']
['V. C. Hubbs'],Result for ['V. C. Hubbs']
['William J. Griffin'],Result for ['William J. Griffin']
['Hannah Thompson'],Result for ['Hannah Thompson']
['Paul J. Donnelly'],Result for ['Paul J. Donnelly']
['Alexander Nehamas'],Result for ['Alexander Nehamas']
['James L. Kastely'],Result for ['James L. Kastely']
['Erika von Erhardt-Siebold'],Result for ['Erika von Erhardt-Siebold']
['Ethel F. Cornwell'],Result for ['Ethel F. Cornwell']
 margaret higonnet,Result for  margaret higonnet
['Jacqueline George'],Result for ['Jacqueline George']
['Efraim Sicher'],Result for ['Efraim Sicher']
['Anna Vaninskaya'],Result for ['Anna Vaninskaya']
['Dorothy Bethurum'],Result for ['Dorothy Bethurum']
 joshua scodel,Result for  joshua scodel
['Nicholas Seager'],Result for ['Nicholas Seager']
['Alexandra Smith'],Result for ['Alexandra Smith']
['CHARLIE DAWKINS'],Result for ['CHARLIE DAWKINS']
['Bernard M. Ward'],Result for ['Bernard M. Ward']
['Pierre Legouis'],Result for ['Pierre Legouis']
['Edgar Hill Duncan'],Result for ['Edgar Hill Duncan']
 derek pearsall,Result for  derek pearsall
['O. K. Schram'],Result for ['O. K. Schram']
['A. L. Lepschy'],Result for ['A. L. Lepschy']
['Walter Dietze'],Result for ['Walter Dietze']
['Elisabeth Bronfen'],Result for ['Elisabeth Bronfen']
['Martin Irvine'],Result for ['Martin Irvine']
['Mark Roberts'],Result for ['Mark Roberts']
['Hannah Lewis-Bill'],Result for ['Hannah Lewis-Bill']
['ROBERT EPSTEIN'],Result for ['ROBERT EPSTEIN']
['Ralph Behrens'],Result for ['Ralph Behrens']
['A. M. Buchan'],Result for ['A. M. Buchan']
['Richard A. Francis'],Result for ['Richard A. Francis']
['Alan S. Trueblood'],Result for ['Alan S. Trueblood']
['KATE LOVEMAN'],Result for ['KATE LOVEMAN']
['P. S. Jolliffe'],Result for ['P. S. Jolliffe']
['Russell Thomas'],Result for ['Russell Thomas']
['N. B. Jopson'],Result for ['N. B. Jopson']
['LUZ RODRÍGUEZ CARRANZA'],Result for ['LUZ RODRÍGUEZ CARRANZA']
['Alan Pedley'],Result for ['Alan Pedley']
['D. Higgins'],Result for ['D. Higgins']
['Rebecca Earle'],Result for ['Rebecca Earle']
['James Berger'],Result for ['James Berger']
['Sarah J. Young'],Result for ['Sarah J. Young']
['Romila Thapar'],Result for ['Romila Thapar']
['Douglas Parmée'],Result for ['Douglas Parmée']
['George H. Cowling'],Result for ['George H. Cowling']
['Judith Milhous'],Result for ['Judith Milhous']
['Hilary Putnam'],Result for ['Hilary Putnam']
['Andrew Apter'],Result for ['Andrew Apter']
['Susan Castillo'],Result for ['Susan Castillo']
['Henry Seidel Canby'],Result for ['Henry Seidel Canby']
 tom peete cross,Result for  tom peete cross
['J. D. M. Ford'],Result for ['J. D. M. Ford']
['Angus Fletcher'],Result for ['Angus Fletcher']
['Arnold Krupat'],Result for ['Arnold Krupat']
['Elizabeth M. Wilkinson'],Result for ['Elizabeth M. Wilkinson']
['A. W. Secord'],Result for ['A. W. Secord']
['Liu Kang'],Result for ['Liu Kang']
['C. Wesley Bird'],Result for ['C. Wesley Bird']
['Bonnie Latimer'],Result for ['Bonnie Latimer']
['D. J. Culpin'],Result for ['D. J. Culpin']
['George G. Storey'],Result for ['George G. Storey']
['Caroline A. Brady'],Result for ['Caroline A. Brady']
['MIGUEL MOTA'],Result for ['MIGUEL MOTA']
['James Kuzner'],Result for ['James Kuzner']
['Earl Leslie Griggs'],Result for ['Earl Leslie Griggs']
['J. B. Trapp'],Result for ['J. B. Trapp']
['Katherine Crawford'],Result for ['Katherine Crawford']
['James P. Bednarz'],Result for ['James P. Bednarz']
['Elizabeth Brine'],Result for ['Elizabeth Brine']
['Karma Lochrie'],Result for ['Karma Lochrie']
['LAURA J. ROSENTHAL'],Result for ['LAURA J. ROSENTHAL']
['Katy L. Chiles'],Result for ['Katy L. Chiles']
['Matthew Treherne'],Result for ['Matthew Treherne']
['Diana Knight'],Result for ['Diana Knight']
['Ranu Samantrai'],Result for ['Ranu Samantrai']
 winifred smith,Result for  winifred smith
['Edel Lamb'],Result for ['Edel Lamb']
